1,10,10,2.98019e-07
2,2830064,5660138,0.168683
3,382,5661284,0.168717
4,819,5664560,0.168815
5,8605,5707585,0.170097
6,68037,6115807,0.182263
7,233673,7751518,0.23101
8,441653,11284742,0.336307
9,657248,17199974,0.512592
10,662023,23820204,0.709887
11,475170,29047074,0.865658
12,235364,31871442,0.949829
13,78053,32886131,0.980069
14,17577,33132209,0.987402
15,3377,33182864,0.988912
16,1161,33201440,0.989465
17,1019,33218763,0.989982
18,1016,33237051,0.990527
19,1024,33256507,0.991107
20,1047,33277447,0.991731
21,992,33298279,0.992351
22,909,33318277,0.992947
23,892,33338793,0.993559
24,887,33360081,0.994193
25,766,33379231,0.994764
26,718,33397899,0.99532
27,676,33416151,0.995864
28,583,33432475,0.996351
29,549,33448396,0.996825
30,516,33463876,0.997287
31,434,33477330,0.997687
32,365,33489010,0.998036
33,323,33499669,0.998353
34,260,33508509,0.998617
35,220,33516209,0.998846
36,211,33523805,0.999073
37,137,33528874,0.999224
38,143,33534308,0.999386
39,88,33537740,0.999488
40,88,33541260,0.999593
41,66,33543966,0.999673
42,50,33546066,0.999736
43,51,33548259,0.999801
44,34,33549755,0.999846
45,38,33551465,0.999897
46,25,33552615,0.999931
47,17,33553414,0.999955
48,6,33553702,0.999964
49,7,33554045,0.999974
50,1,33554095,0.999975
51,7,33554452,0.999986
52,5,33554712,0.999994
53,2,33554818,0.999997
54,2,33554926,1
