1,42821394,42821394,0.938477
2,131072,43083538,0.944222
4,2,43083546,0.944222
5,12,43083606,0.944224
6,32,43083798,0.944228
7,119,43084631,0.944246
8,277,43086847,0.944295
9,583,43092094,0.94441
10,1022,43102314,0.944634
11,1907,43123291,0.945094
12,3015,43159471,0.945886
13,4336,43215839,0.947122
14,5901,43298453,0.948932
15,7683,43413698,0.951458
16,9501,43565714,0.95479
17,10662,43746968,0.958762
18,11332,43950944,0.963232
19,11864,44176360,0.968173
20,11561,44407580,0.97324
21,10612,44630432,0.978124
22,9335,44835802,0.982625
23,8018,45020216,0.986667
24,6574,45177992,0.990125
25,5027,45303667,0.992879
26,3821,45403013,0.995056
27,2742,45477047,0.996679
28,1913,45530611,0.997853
29,1265,45567296,0.998657
30,813,45591686,0.999191
31,477,45606473,0.999515
32,278,45615369,0.99971
33,173,45621078,0.999835
34,111,45624852,0.999918
35,46,45626462,0.999953
36,29,45627506,0.999976
37,19,45628209,0.999992
38,6,45628437,0.999997
39,2,45628515,0.999998
40,2,45628595,1
